corp_code,corp_name,industry,stock_code,modify_date,done_YN,market_cap,,
141529,오뚜기,음식료품,7310,20240701,N,1539006720000 ,,
124540,대우건설,건설업,47040,20230313,N,1537803760600 ,,
165680,호텔신라,유통업,8770,20221209,N,1503203034300 ,,
120030,GS건설,건설업,6360,20240401,N,1497676075000 ,,
1009789,코스맥스,화학,192820,20240329,N,1460681808300 ,,
150244,하이트진로,음식료품,80,20221228,N,1402672220000 ,,
878915,DGB금융지주,기타금융,139130,20240329,N,1378538538950 ,,
344287,HD현대인프라코어,기계,42670,20230426,N,1377489449050 ,,
125521,에스엘,운수장비,5850,20230704,N,1365586488000 ,,
136378,신세계,유통업,4170,20240322,N,1273966421400 ,,
992871,종근당,의약품,185750,20240701,N,1264744320000 ,,
939331,한국콜마,화학,161890,20221220,N,1260511111800 ,,
111810,대웅,의약품,3090,20241025,N,1247145471000 ,,
132637,동원시스템즈,화학,14820,20231101,N,1236478177300 ,,
481454,금호타이어,화학,73240,20240701,N,1229474028360 ,,
140955,한솔케미칼,화학,14680,20221130,N,1182260838500 ,,
1316227,효성티앤씨,화학,298020,20230216,N,1181457186000 ,,
1524093,DL이앤씨,건설업,375500,20240816,N,1178220820350 ,,
161693,한샘,유통업,9240,20231017,N,1170812918000 ,,
140964,영원무역홀딩스,기타금융,9970,20230223,N,1142662609600 ,,
854997,에스디바이오센서,의료정밀,137310,20230109,N,1116561856410 ,,
106623,현대위아,운수장비,11210,20221228,N,1104120369800 ,,
148896,OCI홀딩스,기타금융,10060,20240502,N,1084520915100 ,,
1762569,이수스페셜티케미컬,화학,457190,20230704,N,1061821042000 ,,
120076,LX인터내셔널,유통업,1120,20231115,N,1052334000000 ,,
120571,롯데칠성음료,음식료품,5300,20231024,N,1029956124000 ,,
1010110,더블유게임즈,서비스업,192080,20230418,N,1016756353800 ,,
1258507,롯데웰푸드,음식료품,280360,20240701,N,1016103619800 ,,
117577,오리온홀딩스,기타금융,1800,20230216,N,1014229382180 ,,
131780,SK네트웍스,유통업,1740,20240826,N,1000176117040 ,,
428251,현대백화점,유통업,69960,20240208,N,974711667650 ,,
157681,롯데정밀화학,화학,4000,20240520,N,964920000000 ,,
1412725,두산퓨얼셀,전기전자,336260,20240328,N,948349152480 ,,
1319808,한일시멘트,비금속광물,300720,20221206,N,936416020800 ,,
117300,TCC스틸,철강금속,2710,20230220,N,903061861650 ,,
133858,세방전지,전기전자,4490,20230317,N,901600000000 ,,
106669,세아베스틸지주,철강금속,1430,20230330,N,853518432200 ,,
117188,효성,기타금융,4800,20230109,N,827813126150 ,,
269940,하나투어,서비스업,39130,20230103,N,822810190500 ,,
1316254,HS효성첨단소재,화학,298050,20241002,N,802806681600 ,,
141307,영풍,철강금속,670,20230102,N,793919240000 ,,
138242,KG모빌리티,운수장비,3620,20240514,N,788563079810 ,,
795135,코오롱인더,화학,120110,20230329,N,771910502550 ,,
426086,티케이지휴켐스,화학,69260,20230726,N,743172729840 ,,
124197,세아제강지주,기타금융,3030,20240327,N,714849998200 ,,
109693,DL,화학,210,20230502,N,706213290800 ,,
1267170,SK케미칼,화학,285130,20230329,N,703091657250 ,,
108135,녹십자홀딩스,서비스업,5250,20230220,N,680498198700 ,,
231372,롯데관광개발,서비스업,32350,20221207,N,656811097460 ,,
121941,대상,음식료품,1680,20240701,N,649996949000 ,,
160302,코스모화학,화학,5420,20240227,N,647562724080 ,,
972503,일진하이솔루스,운수장비,271940,20230324,N,640927803500 ,,
557508,GKL,서비스업,114090,20221206,N,635876287600 ,,
526599,덴티움,의료정밀,145720,20240715,N,623175129000 ,,
145260,율촌화학,화학,8730,20220221,N,607600000000 ,,
115676,KG스틸,철강금속,16380,20230605,N,602053559940 ,,
173078,명신산업,운수장비,9900,20230330,N,601307724180 ,,
126779,삼아알미늄,철강금속,6110,20240325,N,580385086200 ,,
260383,대한유화,화학,6650,20221215,N,569400000000 ,,
767460,PI첨단소재,화학,178920,20230324,N,534760723620 ,,
728638,한세실업,섬유의복,105630,20241017,N,530400000000 ,,
595191,후성,화학,93370,20240314,N,520724627150 ,,
