DATE,CLOSE
20220602,2658.99
20220603,2670.65
20220607,2626.34
20220608,2626.15
20220609,2625.44
20220610,2595.87
20220613,2504.51
20220614,2492.97
20220615,2447.38
20220616,2451.41
20220617,2440.93
20220620,2391.03
20220621,2408.93
20220622,2342.81
20220623,2314.32
20220624,2366.60
20220627,2401.92
20220628,2422.09
20220629,2377.99
20220630,2332.64
20220701,2305.42
20220704,2300.34
20220705,2341.78
20220706,2292.01
20220707,2334.27
20220708,2350.61
20220711,2340.27
20220712,2317.76
20220713,2328.61
20220714,2322.32
20220715,2330.98
20220718,2375.25
20220719,2370.97
20220720,2386.85
20220721,2409.16
20220722,2393.14
20220725,2403.69
20220726,2412.96
20220727,2415.53
20220728,2435.27
20220729,2451.50
20220801,2452.25
20220802,2439.62
20220803,2461.45
20220804,2473.11
20220805,2490.80
20220808,2493.10
20220809,2503.46
20220810,2480.88
20220811,2523.78
20220812,2527.94
20220816,2533.52
20220817,2516.47
20220818,2508.05
20220819,2492.69
20220822,2462.50
20220823,2435.34
20220824,2447.45
20220825,2477.26
20220826,2481.03
20220829,2426.89
20220830,2450.93
20220831,2472.05
20220901,2415.61
20220902,2409.41
20220905,2403.68
20220906,2410.02
20220907,2376.46
20220908,2384.28
20220913,2449.54
20220914,2411.42
20220915,2401.83
20220916,2382.78
20220919,2355.66
20220920,2367.85
20220921,2347.21
20220922,2332.31
20220923,2290.00
20220926,2220.94
20220927,2223.86
20220928,2169.29
20220929,2170.93
20220930,2155.49
20221004,2209.38
20221005,2215.22
20221006,2237.86
20221007,2232.84
20221011,2192.07
20221012,2202.47
20221013,2162.87
20221014,2212.55
20221017,2219.71
20221018,2249.95
20221019,2237.44
20221020,2218.09
20221021,2213.12
20221024,2236.16
20221025,2235.07
20221026,2249.56
20221027,2288.78
20221028,2268.40
20221031,2293.61
20221101,2335.22
20221102,2336.87
20221103,2329.17
20221104,2348.43
20221107,2371.79
20221108,2399.04
20221109,2424.41
20221110,2402.23
20221111,2483.16
20221114,2474.65
20221115,2480.33
20221116,2477.45
20221117,2442.90
20221118,2444.48
20221121,2419.50
20221122,2405.27
20221123,2418.01
20221124,2441.33
20221125,2437.86
20221128,2408.27
20221129,2433.39
20221130,2472.53
20221201,2479.84
20221202,2434.33
20221205,2419.32
20221206,2393.16
20221207,2382.81
20221208,2371.08
20221209,2389.04
20221212,2373.02
20221213,2372.40
20221214,2399.25
20221215,2360.97
20221216,2360.02
20221219,2352.17
20221220,2333.29
20221221,2328.95
20221222,2356.73
20221223,2313.69
20221226,2317.14
20221227,2332.79
20221228,2280.45
20221229,2236.40
20230102,2225.67
20230103,2218.68
20230104,2255.98
20230105,2264.65
20230106,2289.97
20230109,2350.19
20230110,2351.31
20230111,2359.53
20230112,2365.10
20230113,2386.09
20230116,2399.86
20230117,2379.39
20230118,2368.32
20230119,2380.34
20230120,2395.26
20230125,2428.57
20230126,2468.65
20230127,2484.02
20230130,2450.47
20230131,2425.08
20230201,2449.80
20230202,2468.88
20230203,2480.40
20230206,2438.19
20230207,2451.71
20230208,2483.64
20230209,2481.52
20230210,2469.73
20230213,2452.70
20230214,2465.64
20230215,2427.90
20230216,2475.48
20230217,2451.21
20230220,2455.12
20230221,2458.96
20230222,2417.68
20230223,2439.09
20230224,2423.61
20230227,2402.64
20230228,2412.85
20230302,2427.85
20230303,2432.07
20230306,2462.62
20230307,2463.35
20230308,2431.91
20230309,2419.09
20230310,2394.59
20230313,2410.60
20230314,2348.97
20230315,2379.72
20230316,2377.91
20230317,2395.69
20230320,2379.20
20230321,2388.35
20230322,2416.96
20230323,2424.48
20230324,2414.96
20230327,2409.22
20230328,2434.94
20230329,2443.92
20230330,2453.16
20230331,2476.86
20230403,2472.34
20230404,2480.51
20230405,2495.21
20230406,2459.23
20230407,2490.41
20230410,2512.08
20230411,2547.86
20230412,2550.64
20230413,2561.66
20230414,2571.49
20230417,2575.91
20230418,2571.09
20230419,2575.08
20230420,2563.11
20230421,2544.40
20230424,2523.50
20230425,2489.02
20230426,2484.83
20230427,2495.81
20230428,2501.53
20230502,2524.39
