ROE,ROE_가중치,corp_name,industry,stock_code,거래량,고가,고정비율,고정비율_가중치,날짜,등락률,매출액_증감률,매출액_증감률_가중치,매출총이익률,부채비율,부채비율_가중치,순이익률,순이익률_가중치,시가,시계열,영업이익_증감률,영업이익률,영업이익률_가중치,유동비율,유동비율_가중치,저가,종가
3.801054558369533,,현대자동차,운수장비,5380,660818,261000,182.6817473977543,0.2,2024-08-20,0.392156862745098,10.728629929780986,,21.628410105596103,179.51078691181962,0.4,9.27108923470589,,258000,2024-2분기,20.289765444037155,9.504848891396383,0.1,145.53161668795022,0.3,255000,256000
3.801054558369533,,현대자동차,운수장비,5380,359513,257500,182.6817473977543,0.2,2024-08-21,-1.3671875,10.728629929780986,,21.628410105596103,179.51078691181962,0.4,9.27108923470589,,257500,2024-2분기,20.289765444037155,9.504848891396383,0.1,145.53161668795022,0.3,251000,252500
3.801054558369533,,현대자동차,운수장비,5380,497250,254000,182.6817473977543,0.2,2024-08-22,-1.782178217821782,10.728629929780986,,21.628410105596103,179.51078691181962,0.4,9.27108923470589,,253500,2024-2분기,20.289765444037155,9.504848891396383,0.1,145.53161668795022,0.3,245500,248000
3.801054558369533,,현대자동차,운수장비,5380,449189,254000,182.6817473977543,0.2,2024-08-23,1.8145161290322585,10.728629929780986,,21.628410105596103,179.51078691181962,0.4,9.27108923470589,,245500,2024-2분기,20.289765444037155,9.504848891396383,0.1,145.53161668795022,0.3,245000,252500
3.801054558369533,,현대자동차,운수장비,5380,469538,258000,182.6817473977543,0.2,2024-08-26,-1.188118811881188,10.728629929780986,,21.628410105596103,179.51078691181962,0.4,9.27108923470589,,255500,2024-2분기,20.289765444037155,9.504848891396383,0.1,145.53161668795022,0.3,247500,249500
3.801054558369533,,현대자동차,운수장비,5380,555018,251000,182.6817473977543,0.2,2024-08-27,-0.8016032064128256,10.728629929780986,,21.628410105596103,179.51078691181962,0.4,9.27108923470589,,248500,2024-2분기,20.289765444037155,9.504848891396383,0.1,145.53161668795022,0.3,244500,247500
3.801054558369533,,현대자동차,운수장비,5380,1170970,261000,182.6817473977543,0.2,2024-08-28,4.646464646464646,10.728629929780986,,21.628410105596103,179.51078691181962,0.4,9.27108923470589,,249500,2024-2분기,20.289765444037155,9.504848891396383,0.1,145.53161668795022,0.3,246000,259000
3.801054558369533,,현대자동차,운수장비,5380,1646679,267000,182.6817473977543,0.2,2024-08-29,-0.193050193050193,10.728629929780986,,21.628410105596103,179.51078691181962,0.4,9.27108923470589,,261500,2024-2분기,20.289765444037155,9.504848891396383,0.1,145.53161668795022,0.3,256000,258500
3.801054558369533,,현대자동차,운수장비,5380,1206940,265500,182.6817473977543,0.2,2024-08-30,-1.160541586073501,10.728629929780986,,21.628410105596103,179.51078691181962,0.4,9.27108923470589,,261000,2024-2분기,20.289765444037155,9.504848891396383,0.1,145.53161668795022,0.3,255500,255500
3.801054558369533,,현대자동차,운수장비,5380,1006660,256000,182.6817473977543,0.2,2024-09-02,-3.718199608610568,10.728629929780986,,21.628410105596103,179.51078691181962,0.4,9.27108923470589,,256000,2024-2분기,20.289765444037155,9.504848891396383,0.1,145.53161668795022,0.3,245000,246000
