,industry,corp_name,stock_code,공시날짜,시계열,ROE,영업이익률,순이익률,매출총이익률,부채비율,유동비율,고정비율,매출액_증감률,영업이익_증감률
2031,의약품,대웅제약,69620,20211115,2021-3분기,-1.7768676370455385,-7.814484147545666,-4.11751136353471,46.33664660810806,107.91204973296888,146.4545623430016,127.14749590581975,0.3303508553912371,21.447895231055124
2032,의약품,대웅제약,69620,20220321,2021-4분기,-4.307616906579803,-7.710643428420267,-2.6242434981526133,47.246786587798574,101.4756401915129,113.94390656883601,126.74788263784387,296.6915420317978,291.4202107170517
2033,의약품,대웅제약,69620,20220516,2022-1분기,-1.8333207367724071,-7.725171278606766,-4.389551972140664,48.1223772942391,103.79711041647126,113.99261708315518,128.40798534070404,-74.12305503998336,-74.07429952649693
2034,의약품,대웅제약,69620,20220816,2022-2분기,-2.201852774029771,-9.324845011628303,-5.041654135732894,50.64724165447946,102.99554262173037,138.1606144709262,125.76939610457414,7.944536057595619,30.296925762238438
2035,의약품,대웅제약,69620,20221114,2022-3분기,-2.799190956491658,-9.068904408649777,-6.387687758102762,50.79528643267559,103.35462626027896,133.56513951777615,126.16085622388997,3.0534777789162915,0.22495149146815052
2036,의약품,대웅제약,69620,20230321,2022-4분기,-5.283587980675182,-7.483626036606801,-3.0594074899421133,49.915084095649526,110.91371962283955,116.10237061444786,136.8508532519903,285.69358196768235,218.27290288918445
2037,의약품,대웅제약,69620,20230518,2023-1분기,-1.7312921969606543,-7.590776454569421,-4.27376766930819,49.311601507374036,106.64522330206874,118.54665991802385,131.60529969405513,-74.813099078971,-74.45247350152098
2038,의약품,대웅제약,69620,20230814,2023-2분기,-3.485387325978732,-11.438174936820191,-8.21078630718665,52.291178242730396,99.52737732599086,107.65620610135743,130.31973245120133,8.614983794178311,63.666680587048475
2039,의약품,대웅제약,69620,20231114,2023-3분기,-1.7831548049816015,-8.618694723672633,-4.473458886476973,48.365503080082135,99.84179638856116,91.23501890858225,130.13620945082417,-2.6531235811314446,-26.648874073737794
2040,의약품,대웅제약,69620,20240320,2023-4분기,-13.154170699598042,-8.913642543971264,-8.725396813855584,50.03650033082969,94.05325771335805,86.1653952754914,131.04405331252102,303.44089175711355,317.247392098315
2041,의약품,대웅제약,69620,20240514,2024-1분기,-0.8496676803092549,-8.83331083758953,-2.357788908081064,50.929910508212096,94.08631577139865,81.81837964245769,133.55935041017915,-75.58513229552179,-75.80516445118768
2042,의약품,대웅제약,69620,20240814,2024-2분기,-0.14579927846345814,-11.735884243853057,-0.3665348852431735,53.03415662399977,107.12247034694433,95.57830407365981,142.07208966470617,7.373765951427247,42.65614685154557
2043,의약품,대웅제약,69620,20241114,2024-3분기,-2.9710694211296964,-10.398378794497773,-7.8849336128522935,50.84204389172964,102.07557026676743,106.70820542171808,141.71606123068935,-0.574685545493625,-11.90590670647409
2044,의약품,삼성바이오로직스,207940,20200515,2020-1분기,-0.8346166737180071,-30.200183650342428,-17.689940415643083,42.02066253227605,35.37139083705256,211.88460699839658,102.84361052919209,0.0,0.0
2045,의약품,삼성바이오로직스,207940,20200807,2020-2분기,-1.1707480404663306,-26.358373283911458,-16.90614185465288,34.46509647666002,35.77781778898091,181.96989984210853,101.64273496579041,48.50166749518574,29.61054907614855
2046,의약품,삼성바이오로직스,207940,20201116,2020-3분기,-1.2465740283495301,-20.589225118543823,-20.42427071585173,31.574576846989245,36.41738759324626,250.71142676818116,101.5397302415734,-10.760470732000616,-30.29263461060362
